unit	agent	wave
r01	bc-abcfef80-334a-492d-8735-fb2ec3a7ab53	1
r02	bc-2597ab4c-f938-4c0e-8827-d02947f23943	1
r03	bc-28765da5-0498-497b-83fe-fe5e205efbb1	1
r04	bc-3756a7d9-96ac-447f-9921-b24b1ca3d22f	1
r05	bc-27477dab-6e58-4c8b-8d53-0665037b4904	1
r06	bc-52a51f64-2237-46c3-9623-b07a2fd6992f	2
r07	bc-a6d52baa-8c8e-4587-8786-be2721deb692	2
r08	bc-e12ef0b7-b19b-4725-91ba-47f74aecb674	2
r09	bc-a649639b-0e61-41d7-b49b-d2631f8a99dd	2
r10	bc-9f47405c-f5c5-424e-8792-5c2bd75e23f7	2
r11	bc-7be196b1-e531-4d85-ae06-b34026623fd1	1
r12	bc-d970e4bb-722f-4382-b9fa-e04ab26bb35b	2
r13	bc-19269772-1770-4772-8997-42bdb30f1406	1
r14	bc-548cd236-96db-470d-973c-2711f7db53e1	1
r15	bc-6ce138e5-351f-4225-a8c5-7dbc8014e4ef	2
r16	bc-0529d319-fcef-4664-a332-7bc88166dca7	1
r17	bc-211d234e-74b7-423a-bb76-2f18bc6fc79b	2
r18	bc-c2a0dfc0-8ddd-42e2-bc24-838cee1d4f0f	1
r19	bc-55c1ec6b-ed41-4294-bff8-1cdcadc1148b	2
r20	bc-79151296-cb63-4dfc-8a5c-13b2ff566276	2
